Individual,Heave.front.toe_angle_l,Heave.front.tie_rod_angle_top_view_l,
0,0.065776,0.0178238,
1,0.087369,0.00623378,
2,0.0873714,0.00623201,
3,0.0873716,0.00623291,
4,0.0873722,0.00623267,
5,0.0873721,0.00623281,
6,0.0873713,0.00623537,
7,0.0873716,0.00623533,
8,0.0873725,0.00623561,
9,0.0873733,0.00623478,
10,0.0873745,0.0062336,
11,0.087377,0.00623186,
12,0.0873743,0.00623465,
13,0.0873742,0.00623514,
14,0.0873766,0.0062329,
15,0.0873768,0.0062327,
16,0.0873768,0.00623286,
17,0.0873734,0.00623635,
18,0.087378,0.00623264,
19,0.0873787,0.00623191,
20,0.0873802,0.00623062,
21,0.0873768,0.00623476,
22,0.0873751,0.0062366,
23,0.0873774,0.0062345,
24,0.0873785,0.00623336,
25,0.0873795,0.00623264,
26,0.0873778,0.00623454,
27,0.0873762,0.00623619,
28,0.0873803,0.00623218,
29,0.0873795,0.00623316,
30,0.0873689,0.00623573,
31,0.0873753,0.00623363,
32,0.0873714,0.00623093,
33,2.11812,2.85802,
34,0.0873647,0.00623117,
35,0.0873778,0.00623196,
36,0.120681,10.9102,
37,0.087376,0.00623326,
38,3.30769,6.1843,
39,6.71069,13.5019,
40,0.0873784,0.00623362,
41,2.7313,3.28195,
42,1.74255,0.963923,
43,1.06766,6.18515,
44,0.0873716,0.00623103,
45,3.23206,4.93121,
46,0.0873743,0.00623465,
47,1.95794,5.56794,
48,5.16999,13.5439,
49,0.0873685,0.00623309,
